"cutoff_date","forecast_start_date","model_id","model_family","model_variant","transfer_mode","lead_day","forecast_date","crps","n_samples_eff","n_samples_nominal","score_method","tau_rule","score_scale"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",1,"2022-12-26","146877418266601.22",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",2,"2022-12-27","264665855993047.91",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",3,"2022-12-28","372271512410991.31",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",4,"2022-12-29","353132427712164.44",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",5,"2022-12-30","560823060147102.12",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",6,"2022-12-31","684387129302354.88",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",7,"2023-01-01","1320544563223285.5",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",8,"2023-01-02","1328557110784117.8",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",9,"2023-01-03","845316160295329.38",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",10,"2023-01-04","697177072903662.62",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",11,"2023-01-05","941707050552020.75",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",12,"2023-01-06","802632486993033.12",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",13,"2023-01-07","939830831590019.12",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",14,"2023-01-08","832286894052049.75",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",15,"2023-01-09","1236380955219168.2",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",16,"2023-01-10","1683845084617243.0",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",17,"2023-01-11","1160859362895900.5",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",18,"2023-01-12","1354708171533483.5",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",19,"2023-01-13","1282560264317136.8",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",20,"2023-01-14","1606641723076027.5",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",21,"2023-01-15","1842516832364524.0",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",22,"2023-01-16","1628863434583115.0",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",23,"2023-01-17","2295169870610578.5",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",24,"2023-01-18","1343783989746505.5",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",25,"2023-01-19","1350276163908170.5",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",26,"2023-01-20","941623461006257.00",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",27,"2023-01-21","1081947606028386.1",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",28,"2023-01-22","855267117205473.62",2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,1,"2022-12-26","1.8668807102154610",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,2,"2022-12-27","4.1575229088323562",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,3,"2022-12-28","1.9985276723499570",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,4,"2022-12-29","1.4918255496132784",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,5,"2022-12-30","2.3652501159326507",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,6,"2022-12-31","4.6507902783783628",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,7,"2023-01-01","3.1013404070404866",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,8,"2023-01-02","2.2846720395564879",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,9,"2023-01-03","2.0235943499144686",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,10,"2023-01-04","2.6202218614888442",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,11,"2023-01-05","3.4080662616950677",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,12,"2023-01-06","2.5151996618401720",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,13,"2023-01-07","2.1630245610546726",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,14,"2023-01-08","3.1854790049627741",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,15,"2023-01-09","4.5079045592747100",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,16,"2023-01-10","3.2436089783734943",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,17,"2023-01-11","3.1634528994852822",51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
